state,state_code,votesmart,title,party,first_name,middle_name,last_name,name_suffix,goes_by,pronunciation,gender,ethnicity,religion,openley_lgbtq,date_of_birth,entered_office,term_end,biography,phone,fax,latitude,longitude,address,website,contact_page,facebook_url,twitter_url,photo_url
Alabama,AL,27642,governor,republican,Kay,,Ivey,,,KAY EYE-vee,female,white-american,baptist,no,1944-10-15,2017-04-10,2019-01-01,"Kay Ellen Ivey (born October 15, 1944) is an American politician and educator who is the 54th and current Governor of Alabama since April 2017. Ivey, a member of the Republican Party, served as the 38th Alabama State Treasurer from 2003 to 2011, and later became the 30th Lieutenant Governor of Alabama; she was the first Republican woman elected in this state, serving from January 2011 until April 2017.",334-242-7900,334-242-4661,32.3773052,-86.3010403,"600 Dexter Avenue, Montgomery, AL 36130",http://governor.alabama.gov,http://governor.alabama.gov/contact,https://www.facebook.com/KayIveyAL,https://twitter.com/LtGovIvey,
Alaska,AK,123219,governor,independent,William,,Walker,,Bill,BIL WAH-ker,male,white-american,christian,no,1951-04-16,2014-12-01,2019-01-01,"William Martin ""Bill"" Walker (born April 16, 1951) is an American attorney and politician who is the 13th and current Governor of Alaska. He is the second native-born governor of Alaska after William A. Egan (1959–1966 and 1970–1974).",907-465-3500,407-465-3532,27.7812652,-82.6321373,"Office of Governor Bill Walker, 3rd Floor, State Capitol, P.O Box 110001, Juneau, AK 99811",https://gov.alaska.gov,https://gov.alaska.gov/contact/email-the-governor/,https://www.facebook.com/Governor.BillWalker,https://twitter.com/AkGovBillWalker,
Arizona,AZ,123548,governor,republican,Douglas,Anthony,Ducey,,Doug,DOAG DOO-see,male,white-american,roman-catholic,no,1964-04-09,2015-01-05,2019-01-01,"Douglas Anthony ""Doug"" Ducey (born April 9, 1964) is an American businessman who is the 23rd and current governor of the U.S. State of Arizona. He is a member of the Republican Party, and was sworn in as governor on January 5, 2015. Prior to his governorship, he served as the state's 42nd treasurer. He is also the first man to serve as Arizona Governor in over 17 years.",520-628-6580,,33.4481208,-112.0992236,"1700 West Washington Street, Phoenix, AZ 85007",http://azgovernor.gov,http://azgovernor.gov/engage/form/contact-governor-ducey,https://www.facebook.com/dougducey,https://twitter.com/dougducey,
Arkansas,AR,732,governor,republican,Asa,,Hutchinson,,,AY-suh HU-chin-sun,male,white-american,baptist,no,1950-12-03,2015-01-13,2019-01-01,"William Asa Hutchinson II (born December 3, 1950) is an American businessman, attorney, politician who has been the 46th Governor of Arkansas since 2015. Previously he was U.S. Attorney for the Fort Smith-based Western District of Arkansas, U.S. Congressman from the Third District of Arkansas, Administrator of the U.S. Drug Enforcement Administration (DEA) and the first Undersecretary for Border & Transportation Security at the U.S. Department of Homeland Security.",501-682-2345,34.746779,34.746779,-92.2912417,"State Capitol Room 250, 500 Woodlane Street, Little Rock, AR 72201",http://governor.arkansas.gov,http://governor.arkansas.gov/contact-info,https://www.facebook.com/asaforarkansas,https://twitter.com/AsaHutchinson,
California,CA,69557,governor,democrat,Edmund,G.,Brown,Jr.,Jerry,JE-ree BROWN,male,white-american,unspecified,no,1938-04-07,2011-01-03,2019-01-01,"Edmund Gerald ""Jerry"" Brown Jr. (born April 7, 1938) is an American politician and lawyer who has served as the 39th Governor of California since 2011. A member of the Democratic Party, Brown previously served as the 34th governor from 1975 to 1983, and is the longest-serving governor in California history. Prior to and following his first governorship, Brown served in numerous state, local and party positions, including three times a candidate for the Democratic nomination for President of the United States.",916-445-2841,916-558-3160,38.5789026,-121.4965295,"State Capitol, Suite 1173, Sacramento, CA 95814",http://gov.ca.gov,https://govnews.gov.ca.gov/gov39mail/mail.php,https://www.facebook.com/jerrybrown,https://twitter.com/JerryBrownGov,
Colorado,CO,71547,governor,democrat,John,,Hickenlooper,,,JOAN HIK-en-LOO-per,male,white-american,unspecified,no,1952-02-07,2011-01-11,2019-01-01,"John Wright Hickenlooper, Jr. (born February 7, 1952), is an American politician, and the 42nd and current Governor of Colorado, in office since 2011. He is a member of the Democratic Party. Born in Narberth, Pennsylvania, Hickenlooper is a graduate of Wesleyan University. After his career as a geologist, Hickenlooper entered a career in business and cofounded the Wynkoop Brewing Company in Denver. Hickenlooper was elected the 43rd mayor of Denver in 2003, serving two terms, until 2011.",303-866-2471,303-866-2003,39.7393292,-104.9870009,"200 East Colfax Avenue, 136 State Capitol Building, Denver, CO 80203",http://www.colorado.gov/governor/,https://www.colorado.gov/governor/contact,https://www.facebook.com/JohnHickenlooper,https://twitter.com/hickforco,
Connecticut,CT,66223,governor,democrat,Dannel,,Malloy,,,DA-nel MA-loy,male,white-american,unspecified,no,1955-07-21,2011-01-05,2019-01-01,"Dannel Patrick ""Dan"" Malloy (born July 21, 1955) is an American politician who is the 88th and current Governor of Connecticut. A member of the Democratic Party, Malloy has served as governor since 2011. He is currently the chair of the Democratic Governors Association.",860-566-4840,860-524-7395,41.7638385,-72.6863461,"State Capitol, 210 Capitol Ave, Hartford, CT 06106",http://portal.ct.gov/governor,http://portal.ct.gov/en/Contact-and-Help/Ask-a-Question,https://www.facebook.com/GovMalloyOffice,https://twitter.com/GovMalloyOffice,
Delaware,DE,53658,governor,democrat,John,,Carney,,,JOAN KARR-nee,male,white-american,roman-catholic,no,1956-05-20,2017-01-17,2019-01-01,"John Charles Carney Jr. (born May 20, 1956) is an American politician who is the 74th and current Governor of Delaware since January 2017. A member of the Democratic Party, he served as the U.S. Representative for Delaware's at-large congressional district from 2011 to 2017 prior to his governorship. Carney was also the 24th Lieutenant Governor of Delaware from 2001 to 2009 and served as Delaware's Secretary of Finance.",302-577-4101,,39.743532,-75.5484957,"Carvel State Office Building, 820 North French Street, 12th Floor, Wilmington, DE 19801",http://governor.delaware.gov,http://delaware.gov/help/degov-contact.shtml,https://www.facebook.com/JohnCarneyDE,https://twitter.com/johncarneyde,
Florida,FL,124204,governor,republican,Rick,,Scott,,,RIK SKAHT,male,white-american,christian,no,1952-12-01,2011-01-04,2019-01-01,"Richard Lynn ""Rick"" Scott (born December 1, 1952) is an American businessman and politician who has been the 45th Governor of Florida, since 2011. He is a member of the Republican Party of Florida.",850-488-7146,,30.437722,-84.2836701,"State of Florida, The Capitol, 400 South Monroe Street, Tallahassee, FL 32399",http://www.flgov.com,http://www.flgov.com/contact-governor/,https://www.facebook.com/governorrickscott,https://twitter.com/FLGovScott,
Georgia,GA,26824,governor,republican,Nathan,,Deal,,,NAY-then DE-al,male,white-american,christian,no,1942-08-25,2011-01-10,2019-01-01,"John Nathan Deal (born August 25, 1942) is an American politician who is the 82nd and current Governor of the U.S. state of Georgia since January 2011. He was elected to the U.S. House of Representatives as a Democrat in 1992, but switched to the Republican Party in 1995. On March 1, 2010, Deal announced his resignation from Congress to run for governor of Georgia.",404-656-1776,404-657-7332,33.7489981,-84.3903046,"206 Washington Street, 111 State Capitol, Atlanta, GA 30334",http://gov.georgia.gov,https://gov.georgia.gov/webform/contact-governor-domestic-form,https://www.facebook.com/GovernorDeal,https://twitter.com/GovernorDeal,
